ultralytics/yolov5,ultralytics/yolov5.1,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
babysor/mockingbird,babysor/MockingBird,"['ai', 'speech', 'pytorch', 'deep-learning']",🚀AI拟声: 5秒内克隆您的声音并生成任意语音内容 Clone a voice in 5 seconds to generate arbitrary speech in real-time
tencentarc/gfpgan,TencentARC/GFPGAN,"['pytorch', 'gan', 'deep-learning', 'super-resolution', 'face-restoration', 'image-restoration', 'gfpgan']",GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.
xinntao/real-esrgan,xinntao/Real-ESRGAN,"['esrgan', 'pytorch', 'real-esrgan', 'super-resolution', 'image-restoration', 'denoise', 'jpeg-compression', 'amine']",Real-ESRGAN aims at developing Practical Algorithms for General Image/Video Restoration.
jaidedai/easyocr,JaidedAI/EasyOCR,"['ocr', 'deep-learning', 'crnn', 'pytorch', 'lstm', 'machine-learning', 'scene-text', 'scene-text-recognition', 'optical-character-recognition', 'cnn', 'data-mining', 'image-processing', 'python', 'easyocr', 'information-retrieval']","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
jina-ai/jina,jina-ai/jina,"['neural-search', 'cloud-native', 'deep-learning', 'machine-learning', 'framework', 'vector-search-engine', 'grpc', 'kubernetes', 'microservices', 'semantic-search', 'multimodal', 'crossmodal', 'creative-ai', 'aiops', 'mlops', 'pipeline', 'workflow', 'airflow', 'fastapi', 'generative-ai']",🔮 Build multimodal AI services via cloud native technologies · Neural Search · Generative AI · Cloud Native
huggingface/datasets,huggingface/datasets,"['nlp', 'datasets', 'metrics', 'evaluation', 'pytorch', 'tensorflow', 'pandas', 'numpy', 'natural-language-processing', 'computer-vision', 'machine-learning', 'deep-learning', 'speech', 'hacktoberfest']","🤗 The largest hub of ready-to-use datasets for ML models with fast, easy-to-use and efficient data manipulation tools"
lucidrains/vit-pytorch,lucidrains/vit-pytorch,"['artificial-intelligence', 'attention-mechanism', 'transformers', 'computer-vision', 'image-classification']","Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch"
microsoft/bringing-old-photos-back-to-life,microsoft/Bringing-Old-Photos-Back-to-Life,"['image-restoration', 'old-photo-restoration', 'generative-adversarial-network', 'gans', 'pytorch', 'image-manipulation', 'photo-restoration', 'photos']",Bringing Old Photo Back to Life (CVPR 2020 oral)
ml-tooling/best-of-ml-python,ml-tooling/best-of-ml-python,"['best-of', 'awesome', 'python', 'machine-learning', 'data-science', 'nlp', 'data-visualization', 'tensorflow', 'pytorch', 'scikit-learn', 'keras', 'python-library', 'data-visualizations', 'deep-learning', 'automl', 'ml', 'jax', 'transformer', 'data-analysis']",🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.
microsoft/qlib,microsoft/qlib,"['quantitative-finance', 'machine-learning', 'stock-data', 'platform', 'finance', 'algorithmic-trading', 'python', 'investment', 'quant', 'quantitative-trading', 'quant-dataset', 'quant-models', 'auto-quant', 'fintech', 'research-paper', 'paper', 'research', 'deep-learning']","Qlib is an AI-oriented quantitative investment platform, which aims to realize the potential, empower the research, and create the value of AI technologies in quantitative investment. With Qlib, you can easily try your ideas to create better Quant investment strategies. An increasing number of  SOTA Quant research works/papers are released in Qlib."
lyhue1991/eat_tensorflow2_in_30_days,lyhue1991/eat_tensorflow2_in_30_days,"['tensorflow2', 'tensorflow', 'tensorflow-examples', 'tensorflow-tutorial']","Tensorflow2.0 🍎🍊 is delicious, just eat it! 😋😋"
lucidrains/dalle2-pytorch,lucidrains/DALLE2-pytorch,"['artificial-intelligence', 'deep-learning', 'text-to-image']","Implementation of DALL-E 2, OpenAI's updated text-to-image synthesis neural network,  in Pytorch"
megvii-basedetection/yolox,Megvii-BaseDetection/YOLOX,"['yolox', 'yolov3', 'onnx', 'tensorrt', 'ncnn', 'openvino', 'pytorch', 'megengine', 'object-detection', 'yolo', 'deep-learning']","YOLOX is a high-performance anchor-free YOLO, exceeding yolov3~v5 with MegEngine, ONNX, TensorRT, ncnn, and OpenVINO supported. Documentation: https://yolox.readthedocs.io/"
xmu-xiaoma666/external-attention-pytorch,xmu-xiaoma666/External-Attention-pytorch,"['attention', 'pytorch', 'paper', 'cbam', 'squeeze', 'excitation-networks', 'linear-layers', 'visual-tasks']","🍀 Pytorch implementation of various Attention Mechanisms, MLP, Re-parameter, Convolution, which is helpful to further understand papers.⭐⭐⭐"
microsoft/deepspeed,microsoft/DeepSpeed,"['deep-learning', 'pytorch', 'gpu', 'machine-learning', 'billion-parameters', 'data-parallelism', 'model-parallelism', 'inference', 'pipeline-parallelism', 'compression', 'mixture-of-experts', 'trillion-parameters', 'zero']","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
coqui-ai/tts,coqui-ai/TTS,"['python', 'text-to-speech', 'deep-learning', 'speech', 'pytorch', 'tts', 'vocoder', 'tacotron', 'glow-tts', 'melgan', 'speaker-encoder', 'hifigan', 'speaker-encodings', 'multi-speaker-tts', 'tts-model', 'speech-synthesis', 'voice-cloning', 'voice-synthesis']","🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production"
